service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,0,0,1,0,0,0,0,20220202,20220216
1,0,0,0,0,0,1,0,20220129,20220219
2,0,0,0,0,0,0,1,20220130,20220220
3,1,1,0,1,1,0,0,20220128,20220218
4,1,1,1,1,1,0,0,20220128,20220218
5,1,1,1,1,1,1,0,20220128,20220219
8,1,1,1,1,0,0,0,20220411,20220421
9,0,0,0,0,1,0,0,20220415,20220422
10,1,1,1,1,1,0,0,20220411,20220422
12,0,1,0,1,0,0,0,20220201,20220203
14,0,0,0,1,1,0,0,20220203,20220204
15,0,1,0,1,1,0,0,20220201,20220204
16,1,1,1,1,0,0,0,20220207,20220217
17,0,0,0,0,1,0,0,20220211,20220218
18,1,1,1,1,1,0,0,20220207,20220218
19,0,0,0,0,0,1,0,20220205,20220219
20,0,0,0,0,0,0,1,20220206,20220220
21,0,1,0,0,0,0,0,20220222,20220628
22,0,0,1,0,0,0,0,20220425,20220629
23,0,0,1,0,0,0,0,20220223,20220629
24,0,0,0,0,1,0,0,20220425,20220701
25,0,0,0,1,1,0,0,20220224,20220410
26,0,1,0,1,1,0,0,20220425,20220701
27,0,0,0,0,0,1,0,20220226,20220625
28,0,0,0,0,0,1,0,20220226,20220625
29,0,0,0,0,0,0,1,20220227,20220424
30,0,0,0,0,0,0,1,20220227,20220626
31,1,0,0,0,0,0,0,20220425,20220627
32,1,1,0,1,0,0,0,20220425,20220630
33,1,0,0,1,1,0,0,20220221,20220701
34,1,1,0,1,1,0,0,20220425,20220701
35,1,1,0,1,1,0,0,20220221,20220701
36,1,1,1,1,1,0,0,20220221,20220701
37,1,1,1,1,1,1,0,20220221,20220701
