service_id,date,exception_type
7,20220418,1
7,20220526,1
8,20220418,2
10,20220418,2
11,20220202,1
13,20220204,1
22,20220223,1
22,20220302,1
22,20220309,1
22,20220316,1
22,20220323,1
22,20220330,1
22,20220406,1
24,20220225,1
24,20220304,1
24,20220311,1
24,20220318,1
24,20220325,1
24,20220401,1
24,20220408,1
25,20220428,1
25,20220429,1
25,20220505,1
25,20220506,1
25,20220512,1
25,20220513,1
25,20220519,1
25,20220520,1
25,20220527,1
25,20220602,1
25,20220603,1
25,20220609,1
25,20220610,1
25,20220616,1
25,20220617,1
25,20220623,1
25,20220624,1
25,20220630,1
25,20220701,1
26,20220222,1
26,20220224,1
26,20220225,1
26,20220301,1
26,20220303,1
26,20220304,1
26,20220308,1
26,20220310,1
26,20220311,1
26,20220315,1
26,20220317,1
26,20220318,1
26,20220322,1
26,20220324,1
26,20220325,1
26,20220329,1
26,20220331,1
26,20220401,1
26,20220405,1
26,20220407,1
26,20220408,1
26,20220526,2
29,20220508,1
29,20220515,1
29,20220522,1
29,20220529,1
29,20220605,1
29,20220612,1
29,20220619,1
29,20220626,1
31,20220221,1
31,20220228,1
31,20220307,1
31,20220314,1
31,20220321,1
31,20220328,1
31,20220404,1
32,20220221,1
32,20220222,1
32,20220224,1
32,20220228,1
32,20220301,1
32,20220303,1
32,20220307,1
32,20220308,1
32,20220310,1
32,20220314,1
32,20220315,1
32,20220317,1
32,20220321,1
32,20220322,1
32,20220324,1
32,20220328,1
32,20220329,1
32,20220331,1
32,20220404,1
32,20220405,1
32,20220407,1
32,20220526,2
34,20220221,1
34,20220222,1
34,20220224,1
34,20220225,1
34,20220228,1
34,20220301,1
34,20220303,1
34,20220304,1
34,20220307,1
34,20220308,1
34,20220310,1
34,20220311,1
34,20220314,1
34,20220315,1
34,20220317,1
34,20220318,1
34,20220321,1
34,20220322,1
34,20220324,1
34,20220325,1
34,20220328,1
34,20220329,1
34,20220331,1
34,20220401,1
34,20220404,1
34,20220405,1
34,20220407,1
34,20220408,1
34,20220526,2
