object_id,object_system,object_code
StopArea:AMIBOMAE,navitia1,AMIBOMAE
StopArea:AMIBOMAE,source,BOMAE
StopArea:AMICAMUS1,navitia1,AMICAMUS1
StopArea:AMICAMUS1,navitia1,AMICAMUS2
StopArea:AMICAMUS1,source,CAMUS1
StopArea:AMICAMUS1,source,CAMUS2
StopArea:AMICARDON1,navitia1,AMICARDON1
StopArea:AMICARDON1,source,CARDON1
StopArea:AMICIRQU1,navitia1,AMICIRQU1
StopArea:AMICIRQU1,navitia1,AMICIRQUN3
StopArea:AMICIRQU1,navitia1,AMIplace_CIR
StopArea:AMICIRQU1,source,CIRQU1
StopArea:AMICIRQU1,source,CIRQUN3
StopArea:AMICIRQU1,source,place_CIR
StopArea:AMICREUSR,navitia1,AMICREUSR
StopArea:AMICREUSR,navitia1,AMIplace_CRSE
StopArea:AMICREUSR,source,CREUSR
StopArea:AMICREUSR,source,place_CRSE
StopArea:AMIESNOY,navitia1,AMIESNOY
StopArea:AMIESNOY,source,ESNOY
StopArea:AMIFDOUL1,navitia1,AMIFDOUL1
StopArea:AMIFDOUL1,navitia1,AMIFDOUL2
StopArea:AMIFDOUL1,source,FDOUL1
StopArea:AMIFDOUL1,source,FDOUL2
StopArea:AMIFERRI1,navitia1,AMIFERRI1
StopArea:AMIFERRI1,source,FERRI1
StopArea:AMIGTTPA,navitia1,AMIGTTPA
StopArea:AMIGTTPA,source,GTTPA
StopArea:AMIGUIMO,navitia1,AMIGUIMO
StopArea:AMIGUIMO,navitia1,AMIMAGUI
StopArea:AMIGUIMO,navitia1,AMIMAGUIR
StopArea:AMIGUIMO,source,GUIMO
StopArea:AMIGUIMO,source,MAGUI
StopArea:AMIGUIMO,source,MAGUIR
StopArea:AMIHEBEC,navitia1,AMIHEBEC
StopArea:AMIHEBEC,source,HEBEC
StopArea:AMILHABO1,navitia1,AMILHABO1
StopArea:AMILHABO1,source,LHABO1
StopArea:AMIPCPIEN3,navitia1,AMIPCPIEN3
StopArea:AMIPCPIEN3,navitia1,AMIplace_PCPI
StopArea:AMIPCPIEN3,source,PCPIEN3
StopArea:AMIPCPIEN3,source,place_PCPI
StopArea:AMIPIMOE,navitia1,AMIPIMOE
StopArea:AMIPIMOE,source,PIMOE
StopArea:AMIplace_14JU,navitia1,AMIplace_14JU
StopArea:AMIplace_14JU,source,place_14JU
StopArea:AMIplace_3DI,navitia1,AMIplace_3DI
StopArea:AMIplace_3DI,source,place_3D.I
StopArea:AMIplace_8MAI,navitia1,AMIplace_8MAI
StopArea:AMIplace_8MAI,source,place_8MAI
StopArea:AMIplace_ABAT,navitia1,AMIplace_ABAT
StopArea:AMIplace_ABAT,source,place_ABAT
StopArea:AMIplace_ABEP,navitia1,AMIplace_ABEP
StopArea:AMIplace_ABEP,source,place_ABEP
StopArea:AMIplace_ABHE,navitia1,AMIplace_ABHE
StopArea:AMIplace_ABHE,source,place_ABHE
StopArea:AMIplace_ACAC,navitia1,AMIplace_ACAC
StopArea:AMIplace_ACAC,source,place_ACAC
StopArea:AMIplace_ACOL,navitia1,AMIplace_ACOL
StopArea:AMIplace_ACOL,source,place_ACOL
StopArea:AMIplace_ACOU,navitia1,AMIplace_ACOU
StopArea:AMIplace_ACOU,source,place_ACOU
StopArea:AMIplace_ADAP,navitia1,AMIplace_ADAP
StopArea:AMIplace_ADAP,source,place_ADAP
StopArea:AMIplace_AFPA,navitia1,AMIplace_AFPA
StopArea:AMIplace_AFPA,source,place_AFPA
StopArea:AMIplace_AFRA,navitia1,AMIplace_AFRA
StopArea:AMIplace_AFRA,source,place_AFRA
StopArea:AMIplace_AGEO,navitia1,AMIplace_AGEO
StopArea:AMIplace_AGEO,source,place_AGEO
StopArea:AMIplace_AIGU,navitia1,AMIplace_AIGU
StopArea:AMIplace_AIGU,source,place_AIGU
StopArea:AMIplace_ALBO,navitia1,AMIplace_ALBO
StopArea:AMIplace_ALBO,source,place_ALBO
StopArea:AMIplace_ALEN,navitia1,AMIplace_ALEN
StopArea:AMIplace_ALEN,source,place_ALEN
StopArea:AMIplace_ALLI,navitia1,AMIplace_ALLI
StopArea:AMIplace_ALLI,source,place_ALLI
StopArea:AMIplace_ALLO,navitia1,AMIplace_ALLO
StopArea:AMIplace_ALLO,source,place_ALLO
StopArea:AMIplace_ALOR,navitia1,AMIplace_ALOR
StopArea:AMIplace_ALOR,source,place_ALOR
StopArea:AMIplace_AMAL,navitia1,AMIplace_AMAL
StopArea:AMIplace_AMAL,source,place_AMAL
StopArea:AMIplace_AMAZ,navitia1,AMIplace_AMAZ
StopArea:AMIplace_AMAZ,source,place_AMAZ
StopArea:AMIplace_AMBO,navitia1,AMIplace_AMBO
StopArea:AMIplace_AMBO,source,place_AMBO
StopArea:AMIplace_AOUT,navitia1,AMIplace_AOUT
StopArea:AMIplace_AOUT,source,place_AOUT
StopArea:AMIplace_APAR,navitia1,AMIplace_APAR
StopArea:AMIplace_APAR,source,place_APAR
StopArea:AMIplace_APAV,navitia1,AMIplace_APAV
StopArea:AMIplace_APAV,source,place_APAV
StopArea:AMIplace_AQUA,navitia1,AMIplace_AQUA
StopArea:AMIplace_AQUA,source,place_AQUA
StopArea:AMIplace_ARTO,navitia1,AMIplace_ARTO
StopArea:AMIplace_ARTO,source,place_ARTO
StopArea:AMIplace_AUSS,navitia1,AMIplace_AUSS
StopArea:AMIplace_AUSS,source,place_AUSS
StopArea:AMIplace_AVAS,navitia1,AMIplace_AVAS
StopArea:AMIplace_AVAS,source,place_AVAS
StopArea:AMIplace_BALZ,navitia1,AMIplace_BALZ
StopArea:AMIplace_BALZ,source,place_BALZ
StopArea:AMIplace_BARR,navitia1,AMIplace_BARR
StopArea:AMIplace_BARR,source,place_BARR
StopArea:AMIplace_BAUD,navitia1,AMIplace_BAUD
StopArea:AMIplace_BAUD,source,place_BAUD
StopArea:AMIplace_BDOR,navitia1,AMIplace_BDOR
StopArea:AMIplace_BDOR,source,place_BDOR
StopArea:AMIplace_BEAQ,navitia1,AMIplace_BEAQ
StopArea:AMIplace_BEAQ,source,place_BEAQ
StopArea:AMIplace_BEAU,navitia1,AMIplace_BEAU
StopArea:AMIplace_BEAU,source,place_BEAU
StopArea:AMIplace_BEFF,navitia1,AMIplace_BEFF
StopArea:AMIplace_BEFF,source,place_BEFF
StopArea:AMIplace_BELA,navitia1,AMIplace_BELA
StopArea:AMIplace_BELA,source,place_BELA
StopArea:AMIplace_BERC,navitia1,AMIplace_BERC
StopArea:AMIplace_BERC,source,place_BERC
StopArea:AMIplace_BERI,navitia1,AMIplace_BERI
StopArea:AMIplace_BERI,source,place_BERI
StopArea:AMIplace_BERL,navitia1,AMIplace_BERL
StopArea:AMIplace_BERL,source,place_BERL
StopArea:AMIplace_BERT,navitia1,AMIplace_BERT
StopArea:AMIplace_BERT,source,place_BERT
StopArea:AMIplace_BGEN,navitia1,AMIplace_BGEN
StopArea:AMIplace_BGEN,source,place_BGEN
StopArea:AMIplace_BLAN,navitia1,AMIplace_BLAN
StopArea:AMIplace_BLAN,source,place_BLAN
StopArea:AMIplace_BLPA,navitia1,AMIplace_BLPA
StopArea:AMIplace_BLPA,source,place_BLPA
StopArea:AMIplace_BLSN,navitia1,AMIplace_BLSN
StopArea:AMIplace_BLSN,source,place_BLSN
StopArea:AMIplace_BLTA,navitia1,AMIplace_BLTA
StopArea:AMIplace_BLTA,source,place_BLTA
StopArea:AMIplace_BLZI,navitia1,AMIplace_BLZI
StopArea:AMIplace_BLZI,source,place_BLZI
StopArea:AMIplace_BOID,navitia1,AMIplace_BOID
StopArea:AMIplace_BOID,source,place_BOID
StopArea:AMIplace_BONI,navitia1,AMIplace_BONI
StopArea:AMIplace_BONI,source,place_BONI
StopArea:AMIplace_BOQU,navitia1,AMIplace_BOQU
StopArea:AMIplace_BOQU,source,place_BOQU
StopArea:AMIplace_BOUL,navitia1,AMIplace_BOUL
StopArea:AMIplace_BOUL,source,place_BOUL
StopArea:AMIplace_BRA,navitia1,AMIplace_BRA
StopArea:AMIplace_BRA,source,place_BRA
StopArea:AMIplace_BRAG,navitia1,AMIplace_BRAG
StopArea:AMIplace_BRAG,source,place_BRAG
StopArea:AMIplace_BRET,navitia1,AMIplace_BRET
StopArea:AMIplace_BRET,source,place_BRET
