stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopArea:AMIplace_MAGU,"MAIRIE GUIGNEMICOURT",,49.869672,2.174474,,,1,,
StopArea:AMIplace_CLSA,"CLAIRY-SAULCHOIX",,49.856289,2.179641,,,1,,
StopArea:AMICREUSR,"Creuse",,49.8394,2.1632,,,1,,
StopArea:AMIplace_FDUC,"FERNAND DUCROS",,49.860698,2.229771,,,1,,
StopArea:AMIplace_GREN,"LA GRENOUILLERE",,49.859555,2.232766,,,1,,
StopArea:AMIplace_SALE,"SALENGRO",,49.858265,2.237574,,,1,,
StopArea:AMIplace_MSAX,"MAIRIE DE SALEUX",,49.860428,2.239765,,,1,,
StopArea:AMIplace_ECAU,"ERNEST CAUVIN",,49.863337,2.239983,,,1,,
StopArea:AMIplace_PAST,"PASTEUR",,49.866712,2.24074,,,1,,
StopArea:AMIplace_AFRA,"ANATOLE FRANCE",,49.86942,2.241573,,,1,,
StopArea:AMIplace_MSAL,"MAIRIE DE SALOUEL",,49.871157,2.243678,,,1,,
StopArea:AMIplace_HGRE,"HENRI GREMONT",,49.873424,2.247261,,,1,,
StopArea:AMIplace_PTJE,"PONT SAINT-JEAN",,49.876868,2.251826,,,1,,
StopArea:AMICIRQU1,"Cirque Jules Verne",,49.888716,2.297954,,,1,,
StopArea:AMIplace_CMAR,"COLLEGE SAINT-MARTIN",,49.884108,2.294725,,,1,,
StopArea:AMIplace_CSAG,"COLLEGE SAGEBIEN",,49.874994,2.290171,,,1,,
StopArea:AMIplace_CSIN,"CITE - PROVIDENCE",,49.878469,2.296619,,,1,,
StopArea:AMIplace_PROV,"LA PROVIDENCE",,49.879204,2.299865,,,1,,
StopArea:AMIplace_STQU,"SAINT-QUENTIN",,49.879003,2.303881,,,1,,
StopArea:AMIplace_3DI,"3EME D.I.",,49.880915,2.312664,,,1,,
StopArea:AMIplace_MONS,"MONS",,49.882603,2.318944,,,1,,
StopArea:AMIplace_LUZA,"LYCEE DE LUZARCHES",,49.884948,2.321095,,,1,,
StopArea:AMIplace_GDN,"GARE DU NORD",,49.889149,2.306,,,1,,
StopArea:AMIGUIMO,"Guignemicourt",,49.8694,2.1744,,,1,,
StopArea:AMIplace_CAMI,"CAMON MIROIR",,49.888531,2.364089,,,1,,
StopArea:AMIplace_HBAR,"HENRI BARBUSSE",,49.887341,2.356562,,,1,,
StopArea:AMIplace_GAMB,"GAMBIER",,49.886073,2.351028,,,1,,
StopArea:AMIplace_CHBA,"CHEVALIER LA BARRE",,49.885835,2.347907,,,1,,
StopArea:AMIplace_CEGL,"EGLISE DE CAMON",,49.88734,2.346329,,,1,,
StopArea:AMIplace_VAEY,"LA VALLEE",,49.888747,2.347189,,,1,,
StopArea:AMIplace_DCAS,"DANIELLE CASANOVA",,49.89088,2.347503,,,1,,
StopArea:AMIplace_PLIB,"PLACE DES LIBERTES",,49.893728,2.3457,,,1,,
