from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:AMIIUTPRN1,StopPoint:AMIIUTPRN2,2,23
StopPoint:AMIIUTPRN2,StopPoint:AMIIUTPRN1,2,23
StopPoint:AMIPVICT1,StopPoint:AMIPVICT2,2,55
StopPoint:AMIPVICT2,StopPoint:AMIPVICT1,2,55
StopPoint:AMIFREYN1,StopPoint:AMIFREYN2,2,129
StopPoint:AMIFREYN2,StopPoint:AMIFREYN1,2,129
StopPoint:AMIBLSNC1,StopPoint:AMIBLSNC2,2,156
StopPoint:AMIBLSNC2,StopPoint:AMIBLSNC1,2,156
StopPoint:AMIALBOU1,StopPoint:AMIALBOU2,2,40
StopPoint:AMIALBOU2,StopPoint:AMIALBOU1,2,40
StopPoint:AMIMOULI1,StopPoint:AMIMOULI2,2,35
StopPoint:AMIMOULI2,StopPoint:AMIMOULI1,2,35
StopPoint:AMIALMOU1,StopPoint:AMIALMOU2,2,12
StopPoint:AMIALMOU2,StopPoint:AMIALMOU1,2,12
StopPoint:AMI14JUI1,StopPoint:AMI14JUI2,2,78
StopPoint:AMI14JUI2,StopPoint:AMI14JUI1,2,78
StopPoint:AMI3DIN1,StopPoint:AMI3DIN2,2,179
StopPoint:AMI3DIN2,StopPoint:AMI3DIN1,2,179
StopPoint:AMIABEPE1,StopPoint:AMIABEPE2,2,22
StopPoint:AMIABEPE2,StopPoint:AMIABEPE1,2,22
StopPoint:AMIABHEN1,StopPoint:AMIABHEN2,2,14
StopPoint:AMIABHEN2,StopPoint:AMIABHEN1,2,14
StopPoint:AMIPERIM1,StopPoint:AMIPERIM2,2,82
StopPoint:AMIPERIM2,StopPoint:AMIPERIM1,2,82
StopPoint:AMIAFPA1,StopPoint:AMIAFPA2,2,58
StopPoint:AMIAFPA2,StopPoint:AMIAFPA1,2,58
StopPoint:AMIALORRN1,StopPoint:AMIALORRN2,2,85
StopPoint:AMIALORRN2,StopPoint:AMIALORRN1,2,85
StopPoint:AMIAMPARN1,StopPoint:AMIAMPARN2,2,50
StopPoint:AMIAMPARN2,StopPoint:AMIAMPARN1,2,50
StopPoint:AMIAPAV1,StopPoint:AMIAPAV2,2,27
StopPoint:AMIAPAV2,StopPoint:AMIAPAV1,2,27
StopPoint:AMIAQUAPN1,StopPoint:AMIAQUAPN2,2,0
StopPoint:AMIAQUAPN1,StopPoint:AMIAQUAPN3,2,124
StopPoint:AMIAQUAPN1,StopPoint:AMIAQUAPN4,2,156
StopPoint:AMIAQUAPN2,StopPoint:AMIAQUAPN1,2,0
StopPoint:AMIAQUAPN2,StopPoint:AMIAQUAPN3,2,124
StopPoint:AMIAQUAPN2,StopPoint:AMIAQUAPN4,2,156
StopPoint:AMIAQUAPN3,StopPoint:AMIAQUAPN1,2,124
StopPoint:AMIAQUAPN3,StopPoint:AMIAQUAPN2,2,124
StopPoint:AMIAQUAPN3,StopPoint:AMIAQUAPN4,2,34
StopPoint:AMIAQUAPN4,StopPoint:AMIAQUAPN1,2,156
StopPoint:AMIAQUAPN4,StopPoint:AMIAQUAPN2,2,156
StopPoint:AMIAQUAPN4,StopPoint:AMIAQUAPN3,2,34
StopPoint:AMIARTOI1,StopPoint:AMIARTOI2,2,120
StopPoint:AMIARTOI2,StopPoint:AMIARTOI1,2,120
StopPoint:AMIVENT1,StopPoint:AMIVENT2,2,29
StopPoint:AMIVENT2,StopPoint:AMIVENT1,2,29
StopPoint:AMIBALZAN1,StopPoint:AMIBALZAN2,2,40
StopPoint:AMIBALZAN2,StopPoint:AMIBALZAN1,2,40
StopPoint:AMIBEAUM1,StopPoint:AMIBEAUM2,2,117
StopPoint:AMIBEAUM2,StopPoint:AMIBEAUM1,2,117
StopPoint:AMIBELAIN1,StopPoint:AMIBELAIN2,2,31
StopPoint:AMIBELAIN2,StopPoint:AMIBELAIN1,2,31
StopPoint:AMIBERLIN1,StopPoint:AMIBERLIN2,2,34
StopPoint:AMIBERLIN2,StopPoint:AMIBERLIN1,2,34
StopPoint:AMIBERTR1,StopPoint:AMIBERTR2,2,73
StopPoint:AMIBERTR2,StopPoint:AMIBERTR1,2,73
StopPoint:AMIBRAGE1,StopPoint:AMIBRAGE2,2,10
StopPoint:AMIBRAGE2,StopPoint:AMIBRAGE1,2,10
StopPoint:AMICAGNA1,StopPoint:AMICAGNA2,2,27
StopPoint:AMICAGNA2,StopPoint:AMICAGNA1,2,27
StopPoint:AMICALMN1,StopPoint:AMICALMN2,2,14
StopPoint:AMICALMN2,StopPoint:AMICALMN1,2,14
StopPoint:AMICAMBRN1,StopPoint:AMICAMBRN2,2,32
StopPoint:AMICAMBRN2,StopPoint:AMICAMBRN1,2,32
StopPoint:AMICAMPI1,StopPoint:AMICAMPI2,2,27
StopPoint:AMICAMPI2,StopPoint:AMICAMPI1,2,27
StopPoint:AMICARME1,StopPoint:AMICARME2,2,58
StopPoint:AMICARME2,StopPoint:AMICARME1,2,58
StopPoint:AMICASDEN1,StopPoint:AMICASDEN2,2,29
StopPoint:AMICASDEN2,StopPoint:AMICASDEN1,2,29
StopPoint:AMICCNOR2,StopPoint:AMICCNOR5,2,48
StopPoint:AMICCNOR2,StopPoint:AMICCNORN7,2,470
StopPoint:AMICCNOR2,StopPoint:AMICCNOR1,2,108
